year,month,day,hour,wind_speed,air_temp
2023,05,26,12,5.2,6.9
2023,05,26,13,5.9,6.9
2023,05,26,14,3.9,7.5
2023,05,26,15,3.1,8.4
2023,05,26,16,4.5,8.8
2023,05,26,17,4.7,8.9
2023,05,26,18,4.5,9.2
2023,05,26,19,3.0,9.4
2023,05,26,20,5.4,9.3
2023,05,26,21,5.7,9.2
2023,05,26,22,5.3,9.3
2023,05,26,23,5.2,9.3
2023,05,27,00,5.2,9.4
2023,05,27,01,7.3,9.3
2023,05,27,02,8.2,9.2
2023,05,27,03,8.8,9.1
2023,05,27,04,7.7,9.1
2023,05,27,05,8.0,9.2
2023,05,27,06,9.0,9.2
2023,05,27,07,10.3,9.6
2023,05,27,08,8.4,9.5
2023,05,27,09,9.2,9.7
2023,05,27,10,10.2,9.6
2023,05,27,11,8.7,9.3
2023,05,27,12,7.2,9.3
2023,05,27,13,6.6,9.4
2023,05,27,14,6.9,9.6
2023,05,27,15,6.7,11.2
2023,05,27,16,5.2,11.3
2023,05,27,17,7.2,14.3
2023,05,27,18,6.8,13.4
2023,05,27,19,8.2,11.7
2023,05,27,20,8.7,13.7
2023,05,27,21,9.5,13.8
2023,05,27,22,8.9,12.5
2023,05,27,23,9.0,12.0
2023,05,28,00,9.4,11.7
2023,05,28,01,9.3,11.8
2023,05,28,02,8.8,11.5
2023,05,28,03,8.8,11.0
2023,05,28,04,7.5,11.1
2023,05,28,05,6.9,10.9
2023,05,28,06,6.8,11.2
2023,05,28,07,8.3,11.3
2023,05,28,08,8.9,10.7
2023,05,28,09,8.5,10.9
2023,05,28,10,8.3,10.6
2023,05,28,11,8.1,10.6
2023,05,28,12,8.8,10.8
2023,05,28,13,8.9,10.8
2023,05,28,14,10.0,11.3
2023,05,28,15,8.9,11.7
2023,05,28,16,9.9,12.5
2023,05,28,17,11.5,12.1
2023,05,28,18,11.9,11.6
2023,05,28,19,9.1,11.6
2023,05,28,20,11.2,12.5
2023,05,28,21,12.0,13.5
2023,05,28,22,13.0,13.8
2023,05,28,23,12.8,13.6
2023,05,29,00,10.5,12.7
2023,05,29,01,10.3,12.7
2023,05,29,02,9.6,12.3
2023,05,29,03,6.1,12.0
2023,05,29,04,9.0,15.4
2023,05,29,05,10.0,14.1
2023,05,29,06,10.3,13.7
2023,05,29,07,9.9,13.6
2023,05,29,08,8.0,12.3
2023,05,29,09,9.3,12.5
2023,05,29,10,9.9,11.7
2023,05,29,11,8.9,11.2
2023,05,29,12,8.9,11.0
2023,05,29,13,7.4,10.7
2023,05,29,14,7.7,10.0
2023,05,29,15,6.1,9.6
2023,05,29,16,8.8,9.1
2023,05,29,17,8.2,9.1
2023,05,29,18,7.9,9.0
2023,05,29,19,7.3,9.1
2023,05,29,20,6.1,9.7
2023,05,29,21,2.6,10.1
2023,05,29,22,0.9,10.8
2023,05,29,23,2.0,9.6
2023,05,30,00,1.6,9.3
2023,05,30,01,3.1,8.9
2023,05,30,02,2.3,8.6
2023,05,30,03,1.5,8.5
2023,05,30,04,0.5,9.1
2023,05,30,05,0.1,9.0
2023,05,30,06,0.8,8.5
2023,05,30,07,1.9,8.3
2023,05,30,08,2.5,8.3
2023,05,30,09,3.6,8.4
2023,05,30,10,4.5,9.2
2023,05,30,11,4.7,9.8
2023,05,30,12,4.6,10.3
2023,05,30,13,4.6,10.0
2023,05,30,14,4.4,9.2
2023,05,30,15,4.7,10.0
2023,05,30,16,4.8,11.1
2023,05,30,17,6.7,11.1
2023,05,30,18,7.7,11.5
2023,05,30,19,7.6,11.7
2023,05,30,20,8.2,11.9
2023,05,30,21,8.6,11.9
2023,05,30,22,8.8,11.6
2023,05,30,23,6.8,11.2
2023,05,31,00,6.7,10.0
2023,05,31,01,6.8,9.7
2023,05,31,02,7.6,9.7
2023,05,31,03,8.5,9.6
2023,05,31,04,7.1,9.6
2023,05,31,05,7.1,9.4
2023,05,31,06,6.3,9.4
2023,05,31,07,7.3,9.4
2023,05,31,08,8.3,9.4
2023,05,31,09,8.0,9.5
2023,05,31,10,8.0,9.7
2023,05,31,11,7.8,10.2
2023,05,31,12,7.0,10.3
2023,05,31,13,6.6,10.2
2023,05,31,14,5.6,10.4
2023,05,31,15,6.7,10.7
2023,05,31,16,8.1,10.7
2023,05,31,17,8.7,10.6
2023,05,31,18,8.0,10.9
2023,05,31,19,7.5,10.7
2023,05,31,20,8.1,11.3
2023,05,31,21,7.8,11.9
2023,05,31,22,9.6,10.8
2023,05,31,23,8.4,11.2
2023,06,01,00,8.1,10.7
2023,06,01,01,7.3,10.8
2023,06,01,02,8.1,11.2
2023,06,01,03,7.2,11.1
2023,06,01,04,5.6,11.3
2023,06,01,05,4.1,11.3
2023,06,01,06,5.0,11.4
2023,06,01,07,5.8,11.3
2023,06,01,08,7.4,11.0
2023,06,01,09,6.1,11.0
2023,06,01,10,6.7,11.2
2023,06,01,11,7.2,11.3
2023,06,01,12,6.8,11.2
2023,06,01,13,5.9,11.3
2023,06,01,14,6.5,11.9
2023,06,01,15,7.9,12.2
2023,06,01,16,6.5,11.9
2023,06,01,17,6.9,12.5
2023,06,01,18,5.6,13.7
2023,06,01,19,6.7,13.9
2023,06,01,20,7.4,13.5
