#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 08 06 16 00 228  7.9  8.3 99.00 99.00 99.00 999 1012.6  14.7 999.0  13.7 99.0 99.00
2023 08 06 17 00 227  9.2  9.4 99.00 99.00 99.00 999 1012.5  15.3 999.0  14.3 99.0 99.00
2023 08 06 18 00 225  8.3  8.6 99.00 99.00 99.00 999 1012.3  15.5 999.0  14.3 99.0 99.00
2023 08 06 19 00 227  9.7 10.1 99.00 99.00 99.00 999 1012.4  16.3 999.0  14.4 99.0 99.00
2023 08 06 20 00 219  8.4  9.0 99.00 99.00 99.00 999 1012.4  16.6 999.0  15.1 99.0 99.00
2023 08 06 21 00 227  8.8  9.4 99.00 99.00 99.00 999 1012.5  16.6 999.0  15.2 99.0 99.00
2023 08 06 22 00 232  7.4  7.9 99.00 99.00 99.00 999 1012.5  16.2 999.0  15.1 99.0 99.00
2023 08 06 23 00 233  8.2  8.5 99.00 99.00 99.00 999 1012.5  15.9 999.0  14.6 99.0 99.00
2023 08 07 00 00 237  8.8  9.0 99.00 99.00 99.00 999 1012.6  15.9 999.0  14.9 99.0 99.00
2023 08 07 01 00 242  8.5  8.9 99.00 99.00 99.00 999 1013.0  15.9 999.0  15.4 99.0 99.00
2023 08 07 02 00 240  8.5  9.1 99.00 99.00 99.00 999 1013.6  15.8 999.0  15.4 99.0 99.00
2023 08 07 03 00 256  8.4  8.6 99.00 99.00 99.00 999 1013.7  15.8 999.0  15.0 99.0 99.00
2023 08 07 04 00 256  6.4  6.7 99.00 99.00 99.00 999 1014.0  16.4 999.0  13.9 99.0 99.00
2023 08 07 05 00 241  4.5  4.7 99.00 99.00 99.00 999 1014.0  15.7 999.0  13.5 99.0 99.00
2023 08 07 06 00 240  5.7  5.8 99.00 99.00 99.00 999 1014.1  14.8 999.0  13.9 99.0 99.00
2023 08 07 07 00 268  5.7  5.8 99.00 99.00 99.00 999 1014.0  15.9 999.0  13.3 99.0 99.00
2023 08 07 08 00 266  4.2  4.3 99.00 99.00 99.00 999 1014.3  15.6 999.0  13.3 99.0 99.00
2023 08 07 09 00 267  4.6  4.8 99.00 99.00 99.00 999 1014.8  17.0 999.0  11.9 99.0 99.00
2023 08 07 10 00 254  4.2  4.3 99.00 99.00 99.00 999 1015.1  16.5 999.0  11.8 99.0 99.00
2023 08 07 11 00 280  4.1  4.1 99.00 99.00 99.00 999 1015.3  17.2 999.0  11.7 99.0 99.00
2023 08 07 12 00 278  2.7 99.0 99.00 99.00 99.00 999 9999.0  16.5 999.0  11.8 99.0 99.00
2023 08 07 13 00 324  2.2  2.2 99.00 99.00 99.00 999 1015.6  17.6 999.0  11.0 99.0 99.00
2023 08 07 14 00   0  0.0  0.0 99.00 99.00 99.00 999 1015.8  17.3 999.0  10.6 99.0 99.00
2023 08 07 15 00 213  5.2  5.6 99.00 99.00 99.00 999 1016.7  16.8 999.0  13.5 99.0 99.00
2023 08 07 16 00 235  2.9  3.0 99.00 99.00 99.00 999 1016.4  16.8 999.0  11.1 99.0 99.00
2023 08 07 17 00 194  0.1  0.3 99.00 99.00 99.00 999 1015.8  18.7 999.0  10.7 99.0 99.00
2023 08 07 18 00  66  0.9  1.0 99.00 99.00 99.00 999 1015.5  19.2 999.0  10.9 99.0 99.00
2023 08 07 19 00  88  2.8  2.8 99.00 99.00 99.00 999 1015.2  17.7 999.0  12.1 99.0 99.00
2023 08 07 20 00 135  4.4  4.5 99.00 99.00 99.00 999 1015.1  18.5 999.0  13.8 99.0 99.00
2023 08 07 21 00 119  3.4  3.4 99.00 99.00 99.00 999 1014.8  18.6 999.0  15.1 99.0 99.00
2023 08 07 22 00 120  3.8  4.2 99.00 99.00 99.00 999 1014.7  18.2 999.0  16.0 99.0 99.00
2023 08 07 23 00 142  4.8  4.9 99.00 99.00 99.00 999 1014.9  18.1 999.0  17.5 99.0 99.00
2023 08 08 00 00 132  4.0  4.1 99.00 99.00 99.00 999 1014.6  17.6 999.0  17.1 99.0 99.00
2023 08 08 01 00 138  5.6  5.6 99.00 99.00 99.00 999 1014.8  17.6 999.0  17.6 99.0 99.00
2023 08 08 02 00 135  5.7  5.8 99.00 99.00 99.00 999 1014.7  17.4 999.0  17.4 99.0 99.00
2023 08 08 03 00 128  5.4  5.5 99.00 99.00 99.00 999 1014.6  17.5 999.0  17.5 99.0 99.00
2023 08 08 04 00 135  6.1  6.2 99.00 99.00 99.00 999 1014.1  17.5 999.0  17.5 99.0 99.00
2023 08 08 05 00  88  6.0  6.2 99.00 99.00 99.00 999 1013.5  16.3 999.0  16.3 99.0 99.00
2023 08 08 06 00  86  7.6  7.8 99.00 99.00 99.00 999 1013.1  16.1 999.0  16.1 99.0 99.00
2023 08 08 07 00  91  6.6  6.7 99.00 99.00 99.00 999 1012.9  16.3 999.0  16.3 99.0 99.00
2023 08 08 09 00  93  9.4 10.1 99.00 99.00 99.00 999 1011.1  15.8 999.0  15.8 99.0 99.00
2023 08 08 10 00 105  7.6  7.8 99.00 99.00 99.00 999 1011.2  15.7 999.0  15.6 99.0 99.00
